,input,actual,predicted
1671,"ur-e11-e unu3
","Uree cowherd 
","xxx
"
1672,"sze-bi 4(asz) gur
","its barley 4 gur 
","its barley 4 gur
"
1673,"mu sza-asz-ru-um ba-hul
","year arum was destroyed 
","year arum was destroyed
"
1674,"sze-bi 5(ban2)
","its barley 5 ban2 
","its barley 5 ban2
"
1675,"gu3-de2-a
","Gudea 
","Gudea
"
1676,"dumu ur-e11-e szusz3
","son of Uree chief livestock manager 
","son of Uree chief livestock manager
"
1677,"dumu ur-sag nimgir-ra
","dem Sohn des Ursag des Heroldes 
","son of Nabalu
"
1678,"uru2 sza3-ba uru2 sza3-ab hu-mu-da-an-gul a uru2-gu10 ga-am3-du11
","Inside the city the inner city was destroyed before me  I shall cry Alas my city 
","In the middle of the city was destroyed before me I shall cry Alas my city
"
1679,"ilx(LAK500)-ma-ni
","he dug 
","lancet
"
1680,"a-ga-de3-ka-sze3
","of Agade 
","of Agade
"
1681,"1(bur3) 1(esze3) 1(iku) 1/4(iku) GAN2 1(u)-ta
","1 bur3 1 ee3 1 14 iku surface area at 1 each 
","1 bur3 1 ee3 1 14 iku surface area at 1 each
"
1682,"1(disz) RI = %a ...
","62 lines in this column
","62 lines in this column
"
1683,"tug2 |PU3.KA|-ka
","textile for Pukaka 
","infected by lice
"
1684,"szunigin 2(ban2) 4(disz) sila3 kasz szunigin 1(ban2) 5(disz) sila3 ninda
","total 2 ban2 4 sila3 beer total 1 ban2 5 sila3 bread 
","total 2 ban2 4 sila3 beer total 1 ban2 5 sila3 bread
"
1685,"1(disz) ur-{d}suen enku
","1 UrSuen fishtither
","1 UrSuen
"
1686,"me zi me e3 szu x ... x ... x x ...
","Adorningtouching the true me the emerging me broadly 
","Before Enlil made the true cosmic powers
"
1687,"1(disz) ...
","1  
","1
"
1688,"uru2 zi na-ag2 gal-zu in-tar-ra-am3 bala-zu in-su3-u4-dam
","True city he has decreed your great fate and made your reign long 
","O city has decreed your fate fate and made your reign long
"
1689,"ki {d}szara2-kam-ta
","from arakam
","from arakam
"
1690,"u3 {gesz}kiri6 mar-sa
","and orchards of the shipyard 
","xxx
"
1691,"ba-gara2
","Bagara 
","The Bagara
"
1692,"en nu-un-ti-la-am3
","and no enpriestess had lived therein
","the en priestess
"
1693,"al-me-a
","having been 
","and the existing man are praised
"
1694,"{d}nin-gir2-su2-ka-ke4
","of Ningirsu 
","of Ningirsu
"
1695,"szu-GIR2@g-bi 1(barig) 4(ban2) 2(disz) 2/3(disz) sila3
","its uGIR 1 barig 4 ban2 2 23 sila3 
","1 barig 4 ban2 2 23 sila3
"
1696,"mete mu n
","a fitting n years  
","a fitting 1 years
"
1697,"{gesz}e-lam-ma-kum
","and elamakkum wood
","lancet
"
1698,"ugu2 kas4 ba-a-gar
","on the debit account of Kas set 
","into the debit of the messengers
"
1699,"iri-bi-sze3 he2-bi2-dab5
","and I had them taken back to their cities
","queen
"
1700,"ga2-e ki-gar-ra-bi-sze3 kur-sze3 ba-ab-szum2-mu-de3
","I as a substitute am to be given to the netherworld 
","she is to give an ablebodied replacement on her own head
"
1701,"dumu ur-{d}ha-ia3
","son of UrHaya
","son of Uraya
"
1702,"{d}nergal
","To Nergal 
","for Nergal
"
1703,"dub-sar
","the scribe
","scribe
"
1704,"{d}nin-lil2-la2-sze3
","and Ninlil
","lancet
"
1705,"ur-sag kal-ga
","the mighty warrior 
","the mighty warrior
"
1706,"n 1(u) ...
","1  
","n 1
"
1707,"iri{ki} du3-a ki nam tar-re-da
","the place of determining fate 
","when in the city where the fates are determined
"
1708,"2(disz) lugal-{gesz}gigir-re
","2 Lugalgigire 
","2 Lugalgigire
"
1709,"u4 8(disz)-sze3 e2-duru5 uri3-ru2-a-ta
","for 8 workdays from Uriruvillage 
","They were scratching the ground for portage to the base of the mountain range
"
1710,"2(disz) gu4 niga {d}inanna
","2 oxen grainfed Inanna 
","2 oxen grainfed Inanna
"
1711,"nu-mu-u3-da-gub-a-bi ki-ba ga-am3-mi-gaz
","whoever did not stand with me I shall grind up on the spot 
","a kind of bat I shall grind up
"
1712,"dumu sa2-ba
","son of Saba 
","son of Sagazu
"
1713,"i3-nun-bi 3(ban2)
","their butter oil 3 ban2 
","their butter oil 3 ban2
"
1714,"nin9-a-ni inim in-na-an-du11-ga
","In the matter which his sister had told him about 
","his sister Erekigal
"
1715,"mu-gu10
","They exalted my name in the site where the endu songs are sung 
","My lines are the lines
"
1716,"ku6-gu10 kun-bi2{ku6}-gu10 he2-ga-me-da-an-ku4-ku4
","My fish my gubi eel may it too enter with you 
","My fish my gubi eel may it too enter with you
"
1717,"e2 {d}suen
","of the temple of the god Sin 
","The temple of Suen
"
1718,"inim-sze3 im-ma-dab5
","he made receptive to messages 
","a type of wood or plant
"
1719,"{d}nin-gir2-su2-ke4 URU-KA-gi-na-da e-da-du11-ga-a szu nu-di3-ni-bala-e
","The object named Ningirsu cannot alter what he declared concerning Urukagina 
","The imakians and Elamites the destroyers looked at them
"
1720,"{d}nin-girimx(|A.BU.HA.DU|)
","by Ningirim 
","of Ningirim
"
1721,"szu12 mu-na-ra2
","prayed to him
","built
"
1722,"inim in-na-sa6-sa6
","I spoke pleasing words 
","Written on tablets
"
1723,"ur-sag eridu{ki}-sze3 du-a-ni
","that when the warrior is going to Eridu
","Hero Eridu and dark silver
"
1724,"su-a-su-a-mu-ne
","and all my relatives
","lancet
"
1725,"n gin2 uruda
","n shekels of copper 
","n shekels of copper
"
1726,"sza3 gu2-be2 nam-gi4
","The heart did it not return to its banks 
","The heart did it not return to its banks
"
1727,"ki-be2 mu-na-gi4
","he restored to its previous condition 
","he restored
"
1728,"1(disz) ... {d}inanna
","1  for Inanna 
","1 for Inanna
"
1729,"sza3-bi ha-ma-pa3-de3
","may she make its meaning visible for me 
","may she make its meaning visible for me
"
1730,"szu mu-na-ni-tag
","he decorated it for him 
","he decorated it for her
"
1731,"x-DU
","outer courtyard 
","PN
"
1732,"ba-ri2 6(disz) sila3 im-tur
","the barig reduced by 6 sila3 
","1 sila3 6 sila3 kumul spice
"
1733,"agrig-ge
","the agrig 
","lancet
"
1734,"{d}en-ki-ke4 {i7}idigna {i7}buranun-na asz2 bi2-in-bala-a-ba
","after Enki had altered the course of the Tigris and Euphrates 
","Enki Ninki Enul and Ninul ancestors of Enlil the Tigris the Euphrates
"
1735,"an-ta-sur-ra ga2-kam
","The Antasura is mine 
","Upon the standard
"
1736,"a-ab-ba
","from the sea 
","Aabba
"
1737,"ensi2
","ruler 
","ruler
"
1738,"nig2-ka9-ak
","xxx 
","xxx
"
1739,"im-ma-ta-an-gar
","he set them to work
","lancet
"
1740,"sza3 mu-ba-ka
","In the middle of that year 
","In the middle of that year
"
1741,"nig2-tuku nig2-al-di
","Wealth to be demanded 
","To have both wealth and desire for more is a taboo of ones god
"
1742,"gur11-gur11-ra-a
","xxx 
","xxx
"
1743,"umma{ki}
","Umma 
","of Umma
"
1744,"uri5{ki}-ki-du10
","Urkidu
","Urkidu
"
1745,"iti a2-ki-ti
","month Akitu 
","month Akitu
"
1746,"{d}nin-gir2-su2-ka
","of Ningirsu 
","of Ningirsu
"
1747,"nin a-izi mu2-a
","the lady grown up  
","the lady grown up
"
1748,"lugal sipa sag-ge6-ga-ke4
","the king and shepherd of the BlackHeaded Folk
","king of the blackheaded people
"
1749,"ama lagasz{ki}-ra
","the mother of Laga 
","the mother of Lagash
"
1750,"eridu{ki}-ga ...
","In Eridu  
","In Eridu
"
1751,"1(u) 2(disz) udu u2 bar-gal2
","12 sheep grassfed with fleece 
","12 sheep grassfed with fleece
"
1752,"... {gesz}banszurx(|GISZGALxGU|)-ga2 ninda kum2 ninda te-en-e si um-ma-ni-...
","After hot and cold foods are set in order on my table 
","After butter oil and bread like the evening
"
1753,"{tug2}bar-dul5 sal-la
","fine fullbody garment 
","fine fullbody garment
"
1754,"nam-ti-la-ni-sze3
","and for his life
","for his life
"
1755,"ki-tusz nam-en-na-ga2
","In my residence of enship 
","the herald
"
1756,"1(asz) 4(barig) zu2-lum gur 1(ban2) 5(disz) sila3-ta
","1 gur 4 barig dates 15 sila3 each
","1 gur 4 barig 1 ban2 5 sila3 dates at 1 ban2 5 sila3 each
"
1757,"munus a mu-ru
","to the Woman dedicate it this vessel 
","dedicate it this vessel
"
1758,"lugal dingir-re-ne-ra
","king of the gods 
","and king of the gods
"
1759,"bad3 gal hur-sag il2-la-gin7 szu nu-tu-tu
","The great city wall raised up like a mountain range which cannot be opposed  
","The great city wall of the mountain range equipped with an aura
"
1760,"1(disz) udu niga saga x
","1 sheep grainfed fine quality 
","1 sheep grainfed fine quality
"
1761,"im-mi-ra
","did smite 
","57 lines
"
1762,"5(disz) sila3 esza dub-dub-de3
","5 sila3 ea  
","5 sila3 ea
"
1763,"dub gid2-da
","xxx 
","xxx
"
1764,"gurusz-ra e2 sumun-na-gin7 {uruda}ha-zi-in szu ga-ba-szi-in-ti
","Saying I shall take the ax to the youth like a dilapidated house 
","May the lad and sapped his sexual energies
"
1765,"mu {d}amar-{d}suen lugal
","year AmarSuen is king 
","xxx
"
1766,"{d}utu lugal igi-ni-sze3 ba-gen
","Utu marches before the king 
","ama went to the king
"
1767,"in-du3-a
","was built 
","built
"
1768,"ezem sze-sag11-ku5
","festival Harvest 
","month Harvest
"
1769,"mu si-ma-num2{ki} ba-hul
","year Simanum was destroyed  
","year Simanum was destroyed
"
1770,"... {d}ga-sza-an-an-na-sze3 ...
","I was bringing it towards the flowering orchard of Inanna 
","Kudurmabuk
"
1771,"nesag kur-ra-da si sza-mu-na-ni-ib-sa2-asz
","They prepared correctly for him the firstfruit offerings of the land 
","I am the bringer of the nesag offering who does not allow light to pass through the Ebabbar temple
"
1772,"{na4}nunuz-tab-ba nig2 TUR-TUR ...
","The man removed the necklace of tiny ovoid beads upon her chest 
","Small sandals for your feet large sandals for your feet shall be made
"
1773,"mu {d}gu-za {d}en-lil2-la2 ba-dim2
","year The throne of Enlil was fashioned 
","year The throne of Enlil was fashioned
"
1774,"{d}utu
","of Utu 
","For Utu
"
1775,"uri5{ki}
","Ur 
","Ur
"
1776,"i3-gal2
","are here 
","are here
"
1777,"inim an-na im-mi-ib2-u3-u3-dam
","it is a dragon hissing in the mountain 
","An looks kindly upon that of earth
"
1778,"e2 gu-la
","great house 
","the big house
"
1779,"ma-ri2{ki}-a AN-BU
","In Mari ANBU 
","The splitting asword gone into the mouth
"
1780,"masz2-lulim-e ga zi gu7-a
","and fed fine milk by the hinds 
","fed rich milk
"
1781,"b. 5(disz) kusz3 dagal
","5 cubits the width 
","5 cubits the width
"
1782,"i-{d}utu u2-gu he2-ni-de2
","and complaint I made disappear
","May she bray like a mother
"
1783,"{d}in-nin ag2 ze2-eb-be2-da-mu me al nu-di-di nig2-mu mu-ra-an-gar = %a {d}min ur-tu4 ka-bit-tu4 pa-ra-as, la e-re-szi mim-me-e-a a-szim-ki
","Lady I have established for you my weighty commands divine powers that should not be demanded by anyone 
","Lady my important decisions divine powers which could not be asked for by anyone else I have assigned to you
"
1784,"nu-banda3
","manager 
","the overseer
"
1785,"ARAD2 su-mu-el3
","servant of SmEl 
","servant of SmEl
"
1786,"nu-{gesz}kiri6-ke4-ne
","of the orchardists 
","xxx
"
1787,"...-ni-in-tu-u4-de3-en
"," bore meyou 
","lancet
"
1788,"ur-sag {d}nin-urta sza3-bi ba-da-an-szub
","The hero Ninurta fell into it with the turtle 
","Hero Ninurta he who has wisdom
"
1789,"lugal kal-ga
","the mighty king 
","strong king
"
1790,"e2-an-na-tum2
","Eannatum 
","Eannatum
"
1791,"a-sza3 {d}nin-ur4-ra
","field of Ninura 
","field Ninura
"
1792,"mu n i3-ak
"," years he ruled 
","n years he ruled
"
1793,"si-ma-at-{d}inanna
","SimatEtar  
","SimatItar
"
1794,"lu2 kasx(DU){kas}-e szu tak4-ma-ab
","have a courier send some to me 
","The man ofattached to the courtyard touchedadornedchose the ground
"
1795,"{d}szul-gi-iri-mu
","did ulgiirimu 
","ulgiirimu
"
1796,"zu-ma-ku-um engar
","Zumakum the ploughman 
","Kalla the plowman
"
1797,"szunigin 1(disz) az
","total 1 bear
","total 1 bear
"
1798,"mu en-unu6-gal {d}inanna ba-hun
","Lukalla 
","year Enunugal of Inanna was installed
"
1799,"balag ki-ag2-e uszumgal kalam-ma
","With his beloved harp dragon of the land 
","is beloved harp the DragonoftheLand
"
1800,"ZU RI
","otter 
","otter
"
1801,"ki-tusz ku3 {d}nanna tir szim {gesz}erin-na-gin7 ir-si-im-bi ba-gul
","The fragrance of the sacred seat of Nanna formerly like a fragrant cedar grove was destroyed 
","The holy dwelling of the dwelling of holy Nanna was like a juniper forest was brought to an end
"
1802,"ki ab-ba-sa6-ga-ta
","from Abbasaga 
","from Abbasaga
"
1803,"... x-esz hasz4 gal-a-ni mu-un-hur
","The place unseen when with a man she scratched her inner thigh 
","The orchard its thighs
"
1804,"nita2 kal-ga
","the strong man 
","the strong man
"
1805,"ba-sa6-ga
","from Basaga 
","Baaga
"
1806,"nam-ti-la-ni-sze3
","for hisher life
","for his life
"
1807,"...-ga
","Lord  
","The enemy land
"
1808,"1(asz) gu2-sze3 1(u) 7(disz) sze gur-ta
","for 1 talent 17 gur of barley each
","for 1 talent 7 gur each
"
1809,"ugula lugal-iti-da
","Overseer LugalItida 
","foreman Lugalitida
"
1810,"i3-gal2
","xxx 
","are here
"
1811,"{d}nanna-kam
","scribe 
","for Nannakam
"
1812,"sag-nig2-gur11-ra-kam
","are the debits 
","are the debit
"
1813,"dam e2-x-ke4
","wife of E 
","wife of Lugalkursi
"
1814,"... ni2-te-na lu2-erim2-e ...
","So that the enemy seizes its shepherd in his very own palace 
","1343
"
1815,"u4 1(u) 7(disz)-kam
","17th day 
","17th day
"
1816,"sze gesz e3-a
","barley threshed 
","barley threshed
"
1817,"giri3 lugal-inim-gi-na
","via Lugalinimgina 
","via Lugalinimgina
"
1818,"e2-a silim 2(asz)-nam nam-mi-se3
","For the second time did he not give a blessing in the house 
","For the fourth time did he not give a blessing in the house
"
1819,"en-nu bad3
","Watch of the wall
","Watch of the wall
"
1820,"2(asz) sipa
","2 shepherd 
","2 shepherd
"
1821,"e2 du3 {d}nin-gir2-su
","Ningirsus temple builder 
","xxx
"
1822,"a-da-a
","to Adaya 
","is your servant
"
1823,"iri-ta nu-e3
","out of the city not going
","out of the city not going
"
1824,"dingir zi me-a tum2-ma gal-bi du11-ga-...
","True deity greatly suitable for the cosmic powers your utterance is supreme 
","The true gods of the true templeproductive estate abandoned it and was not saying my temple
"
1825,"ur-{d}szul-pa-e3
","Urupae
","Urulpae
"
1826,"nam-ti-la-ni-sze3
","for his life 
","for his life
"
1827,"mex(|ME.LAK526|)
","let battle 
","lancet
"
1828,"... ag2-ga2-ni giri3 ...
"," took a different path away from his beloved  
","Numuda took a different path away from his city his beloved dwelling
"
1829,"hu-mu-dim2
","I fashioned
","I fashioned
"
1830,"{d}ba-ba6
","Baba 
","For Baba
"
1831,"lu2-u18-lu nig2 dingir-ra-a-ne2 sza3-dab ga2-ga2-bi mu-un-da-ak amalu-bi za3-sze3 ba-an-di-ni-ib2-gar-ra = %a a-me-lu sza2 dingir-szu2 szab-sisz ik-tam-lu-sza2 u {d}isz-tar-szu2 iq-t,i-nu-szu2
","a human being whose god has gotten very angry with him whose goddess has become souredjealous towards him 
","The anzam containers were sitting idle Dumuzid was no longer dwelling she weeps bitterly
"
1832,"{d}asz-im2-babbar2-re
","for Aimbabbar
","His king Aimbabbar
"
1833,"1(N01@f) , kasz sag
","1 measure high quality beer 
","1 measure high quality beer
"
1834,"ensi2
","ruler 
","ruler
"
1835,"sa12-rig9
","he presented it this object 
","present it this statuette
"
1836,"esz3 gir2-su mu-du3
","The shrine Girsu he built 
","had the shrine Girsu
"
1837,"sza3 sag3 a-nir-ra a-ba-a i-ni-in-gar x x x IM ... x
","Who brought about such worry and lamenting and  
","Weeping lamentation distress and lamenting were lamenting in those streets and
"
1838,"lu2-... sza3-ga-ni al-...
","Like one who yokes a plow his heart is pleasedrejoicing 
","He is eating his heart
"
1839,"sza3 mu-na-hun-ge26-e
","calmed his heart 
","The aur and mansim sieves compete to see
"
1840,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1841,"i3-gal2
","xxx 
","are here
"
1842,"u3 sze gu4 udu gu7-a
","xxx 
","xxx
"
1843,"i-di3-er3-ra lu2 azlag2
","IddinErra the fuller 
","IddinErra
"
1844,"a mu-na-ru
","he dedicated it this mace head 
","he dedicated it to him
"
1845,"dumu-ni-me
","being her children 
","being her children
"
1846,"e2-tur3-e ba-te ga-ra-bi im-ta-kum-kum
","He approached the stall and smashes its cheesepot 
","The priestsmith Nintukalamma
"
1847,"kusz pirig-pirig
","With lions skins 
","Seven times
"
1848,"... NI kesz2-kesz2 lu2 nu-mu-...
"," no one  
","no one
"
1849,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
1850,"he2-zu
","may you know 
","be known
"
1851,"b. 3(disz) kusz3 dagal
","3 cubits the width 
","3 cubits the width
"
1852,"{na4}e-le-li gesztu2 tuku kur dux(LU2) mu2-a-ba ni2-gu10 he2-me-ni-ri
","eleli stone possessed of wisdom when the mountain sows discord I shall cast down my aura upon you 
","Possessing a profound mind true woman possessing a purebright heart I want to speak to you about your me
"
1853,"mu en {d}inanna masz-e i3-pa3
","xxx 
","year The enpriest of Inanna by goat was found
"
1854,"in-da-su2 ...
","Indasu 
","Indasu
"
1855,"ur-sag {d}en-lil2-la2-ke4
","the hero of Enlil 
","the hero of Enlil
"
1856,"dingir-ra-ni
","Upon the standard 
","his personal god
"
1857,"{d}nin-hur-sag ama dingir-re-ne-ra
","For Ninhursaga the mother of the gods 
","Ninursag
"
1858,"{d}nin-dar-a
","For Nindara 
","To Nindara
"
1859,"nam-ti
","for the life 
","for the life
"
1860,"...-ta
","For the god Ningizida
","from
"
1861,"munus sa6-ga
","pretty woman 
","the beautiful woman
"
1862,"gur-bi 1(disz)-am3
","its gurdub basket 1 
","xxx
"
1863,"giri3 ba-zi
","xxx 
","via Bazi
"
1864,"e2-ki sanga {d}nin-mar{ki}
","Eki temple household manager of Ninmar 
","xxx
"
1865,"... nam am3-mi-ib2-...
","Ninurta the son of Enlil was decreeing a fate 
","The fate was decreeing its fate
"
1866,"{d}szu-{d}suen
","Suen
","Suen
"
1867,"1(disz) gu4 niga {d}nin-hur-sag nu-banda3
","xxx 
","1 ox grainfed oforf Ninursag the manager
"
1868,"abul iri-na-ke4 gal2 he2-eb2-tak4-tak4
","May the gates of his city stand open
","At the gate of his city the one of queenship
"
1869,"zi-ga bala-a sza3 nibru{ki} u3 sza3 uri5{ki}-ma
","bookedouts of the bala obligation in Nippur and in Ur 
","bookedouts of the bala and
"
1870,"ARAD2-zu
","is your servant 
","is your servant
"
1871,"u4 dam-a-ni
","however long his wife
","when his wife
"
1872,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
1873,"e2 bahar3-a gub-ba
","stationed in the pottery factory 
","suburban house
"
1874,"a2 u4-buru14-ka-ne-ne 3(ban2)-ta
","their harvesttime wages will be 3 ban2 each
","3 ban vegetable oil
"
1875,"e2-babbar2-ra
","The Ebabbar 
","the Ebabbar
"
1876,"ku3 sza3-ga2 a-sa6-ga
","and The silver that will satisfy me 
","and The silver that will satisfy me
"
1877,"szunigin 5(disz) sila3 kasz saga szunigin 5(disz) sila3 kasz
","total 5 sila3 fine beer total 5 sila3 beer
","total 5 sila3 fine beer total 5 sila3 beer
"
1878,"{gesz}ig {gesz}erin
","a cedar door 
","a door
"
1879,"na-ra-am-i3-li2
","Naramil 
","xxx
"
1880,"ARAD2-da-ni-ir
","his servant 
","his servant
"
1881,"en ki-ag2 {d}nanna
","beloved enpriestess of Nanna 
","loving priestess of Nanna
"
1882,"gu3 zi e-na-de2-a
","spoke truly to him 
","had spoken truly
"
1883,"a-ga-de3{ki} dim2-ma-bi ba-ra-e3
","good sense left Agade 
","The reasoningmood of Agade left as well
"
1884,"gu3-de2-a
","Gudea 
","Gudea
"
1885,"su-la2 masz kur
","dried cut of a mountain kid 
","dried cut of a mountain kid
"
